id,latitude,longitude,name,type,pm25,color,url,label,approx
4132,30.3775,-88.5339,[AirNow] PASCAGOULA (PM2.5=4.6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
4133,40.6978,-89.5889,[AirNow] PEORIA_J (PM2.5=14.7),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
4134,45.2039,-90.6,[AirNow] PERKINSTOWN (PM2.5=21.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
4135,37.4828,-82.5353,[AirNow] PIKE2001 (PM2.5=8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
4136,35.6386,-77.358,[AirNow] PITTAGCT (PM2.5=9),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
4137,40.07778,-6.14722,[EEA Spain] PLASENCIA (PM2.5=2.98),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
4138,45.61394,-61.36235,[AirNow] PORT HAWKESBURY (PM2.5=9),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
4139,42.9533,-82.4564,[AirNow] PORT HURON (PM2.5=18.7),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
4140,45.5639,-88.81,[AirNow] POTAWATOMI (PM2.5=17),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
4141,53.9147,-122.7419,[AirNow] PRG Plaza 400 (PM2.5=60.7),OpenAQ (3235),2,004400,https://openaq.org/,[OpenAQ] ,60
4142,41.235558,-8.618611,[EEA Portugal] PT01024 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
4143,41.371387,-7.790833,[EEA Portugal] PT01048 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
4144,41.1475,-8.658889,[EEA Portugal] PT01050 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
4145,39.92389,-8.891667,[EEA Portugal] PT02019 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
4146,40.233055,-7.301944,[EEA Portugal] PT02020 (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
